8 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ../data/train_petsc.txt
Parsing test data: ../data/test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train_petsc.txt
Test data: ../data/test_petsc.txt
loss: CRF, lambda: 1.000000e-04, Processors: 8
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter	func.val	gap time	feval.num	nfuncs	train_lett_err	train_word_err	test_lett_err	test_word_err
74	2.18862141	0.0372577787	34.4392147	78	9.185836	36.212914	14.537818	48.647863
75	2.18580585	0.0304284905	34.9547467	79	9.178130	36.242001	14.553231	48.647863
76	2.18282306	0.043865521	35.3275785	80	9.039417	35.834788	14.522406	48.676941
77	2.17958212	0.0400594609	35.6963375	81	8.977768	35.573008	14.587909	48.822332
78	2.17743722	0.0313745718	36.1094666	82	8.931530	35.485748	14.541671	48.764176
79	2.17506917	0.0312829613	36.4897594	83	8.981621	35.514834	14.506993	48.676941
80	2.17329259	0.0318812694	36.8806434	84	8.950796	35.456661	14.587909	48.880489
81	2.17110599	0.0309956239	37.3000634	85	8.989327	35.514834	14.564790	48.793254
82	2.16894709	0.0338005011	37.6895924	86	8.943089	35.427574	14.526259	48.822332
83	2.1671283	0.0278435629	38.0745504	87	8.908411	35.427574	14.549378	48.822332
84	2.16537919	0.0248905761	38.4636564	88	8.854468	35.136707	14.591762	48.967723
85	2.16369814	0.0328539212	38.8702605	89	8.869880	35.165794	14.514700	48.938645
86	2.16216224	0.027468992	39.2777915	90	8.839055	34.991274	14.449197	48.706019
87	2.16089334	0.021172808	39.6511307	91	8.800524	34.758581	14.441490	48.589706
88	2.15969502	0.0279854823	40.0238757	92	8.823643	34.787667	14.526259	48.793254
89	2.15859758	0.0270586218	40.4262125	93	8.815937	34.845841	14.460756	48.531550
90	2.15757929	0.0187853368	40.8280356	94	8.769699	34.700407	14.503140	48.735097
91	2.15631142	0.0202315834	41.2087858	95	8.754287	34.671321	14.487728	48.822332
92	2.15563343	0.0433919088	41.5870769	96	8.754287	34.467714	14.514700	48.822332
93	2.15467069	0.0201457126	42.1120219	97	8.727315	34.467714	14.503140	48.735097
94	2.1537261	0.0170710792	42.5076168	98	8.758140	34.584061	14.437637	48.880489
95	2.15289962	0.0206126308	42.8815186	99	8.700343	34.438627	14.399106	48.851410
96	2.15149493	0.0355428026	43.2650986	100	8.765846	34.642234	14.333603	48.473393
97	2.15027189	0.0267574762	43.7137837	101	8.742727	34.729494	14.387547	48.647863
98	2.14941581	0.0143956692	44.1178138	102	8.708049	34.525887	14.368281	48.531550
99	2.14824495	0.017566237	44.5152607	103	8.700343	34.467714	14.375987	48.444315
100	2.14756117	0.0284084467	44.9057477	104	8.719609	34.729494	14.399106	48.706019
101	2.14667297	0.0185265582	45.2994547	105	8.696490	34.613147	14.364428	48.502472
102	2.14592463	0.0217308014	45.6714656	106	8.692637	34.671321	14.395253	48.502472
103	2.14533737	0.014957619	46.0422838	107	8.719609	34.729494	14.322044	48.444315
104	2.14489609	0.0144907948	46.4079936	108	8.692637	34.642234	14.345162	48.415237
105	2.14388089	0.0227651511	46.7981837	109	8.673371	34.613147	14.352869	48.444315
106	2.14340214	0.0177506384	47.5709987	111	8.684930	34.642234	14.368281	48.560628
107	2.14300501	0.0125948032	48.0831096	112	8.677224	34.642234	14.375987	48.560628
108	2.14230537	0.0163753096	48.5100956	113	8.684930	34.729494	14.345162	48.386159
109	2.1421466	0.0388703002	48.9014175	114	8.669518	34.758581	14.310484	48.357081
110	2.14166155	0.0149454653	49.3026755	115	8.661812	34.613147	14.310484	48.328002
111	2.14131085	0.0106826443	49.9271314	116	8.711902	34.758581	14.318191	48.444315
112	2.14090982	0.0153382838	50.3215704	117	8.700343	34.729494	14.314337	48.415237
113	2.14019066	0.0185774969	50.7471373	118	8.715755	34.758581	14.279659	48.240768
114	2.13981782	0.0297187919	51.7072492	120	8.681077	34.525887	14.302778	48.298924
115	2.1390919	0.015735369	52.0984061	121	8.719609	34.729494	14.337456	48.182611
116	2.13862946	0.00920538831	52.6593149	122	8.750433	34.874927	14.298925	48.124455
117	2.13814418	0.0123532553	53.2342091	123	8.708049	34.642234	14.333603	48.211689
118	2.13788055	0.0337242809	53.671741	124	8.731168	34.671321	14.302778	48.211689
119	2.13749945	0.0165067195	54.170655	125	8.719609	34.613147	14.322044	48.298924
120	2.13703884	0.0111498816	54.5666082	126	8.719609	34.554974	14.349016	48.328002
121	2.1367867	0.0128929001	54.9880872	127	8.696490	34.554974	14.383694	48.415237
122	2.13639948	0.0288401947	55.5154374	128	8.758140	34.671321	14.395253	48.444315
123	2.1359446	0.0126188907	55.9203293	129	8.788965	34.700407	14.410665	48.473393
124	2.13573866	0.00850373319	56.3338604	130	8.777405	34.671321	14.395253	48.386159
125	2.13543471	0.0106454183	56.7126186	131	8.765846	34.584061	14.379840	48.386159
126	2.13517984	0.0206125279	57.1484425	132	8.788965	34.700407	14.325897	48.066298
127	2.13483726	0.00903973188	57.5958955	133	8.819790	34.787667	14.383694	48.298924
128	2.1345957	0.00770165389	58.0055425	134	8.746580	34.642234	14.372134	48.298924
129	2.13435853	0.0085785437	58.4799526	135	8.727315	34.671321	14.399106	48.415237
130	2.13422184	0.0304701488	58.9183095	136	8.738874	34.758581	14.395253	48.502472
131	2.13374186	0.00999274274	59.5250084	137	8.738874	34.729494	14.349016	48.415237
132	2.13349823	0.00744346054	60.0789094	138	8.758140	34.816754	14.364428	48.328002
133	2.13324276	0.00944603799	60.5239143	139	8.761993	34.816754	14.368281	48.240768
134	2.13306384	0.0252540173	60.9322345	140	8.742727	34.642234	14.352869	48.182611
135	2.13275495	0.00996682266	61.4215765	141	8.711902	34.554974	14.352869	48.269846
136	2.13254655	0.00718934798	61.8120005	142	8.684930	34.584061	14.364428	48.328002
137	2.13236211	0.00898313284	62.2531316	143	8.677224	34.525887	14.360575	48.357081
138	2.13205676	0.0165562172	62.6375787	144	8.654105	34.642234	14.314337	48.473393
139	2.13191736	0.0186701021	63.0849438	145	8.677224	34.729494	14.345162	48.589706
140	2.13174382	0.00631843744	63.4775007	146	8.642546	34.700407	14.329750	48.415237
141	2.13163496	0.00687252264	63.8648696	147	8.681077	34.758581	14.306631	48.357081
142	2.13145846	0.0101695918	64.2637806	148	8.692637	34.787667	14.329750	48.357081
143	2.13124457	0.0173862705	64.6723816	149	8.688784	34.729494	14.260394	48.240768
144	2.13105294	0.0106199108	65.0696666	150	8.681077	34.613147	14.271953	48.357081
145	2.1309214	0.00579763313	65.4730916	151	8.677224	34.584061	14.260394	48.357081
146	2.13076004	0.0076804468	65.8720555	152	8.677224	34.613147	14.287366	48.357081
147	2.13063233	0.00687489687	66.2744746	153	8.719609	34.642234	14.268100	48.328002
148	2.1304878	0.00902837776	66.6573887	154	8.650252	34.584061	14.298925	48.444315
149	2.13036105	0.00534104838	67.0499699	155	8.673371	34.554974	14.279659	48.386159
150	2.13024115	0.00702658217	67.4753859	156	8.708049	34.642234	14.287366	48.386159
151	2.13015771	0.00883926608	67.8723829	157	8.731168	34.671321	14.283513	48.357081
152	2.13006206	0.00583709533	68.3314469	158	8.719609	34.671321	14.291219	48.386159
153	2.12992243	0.00688725936	68.737298	159	8.742727	34.816754	14.287366	48.444315
154	2.12986284	0.0109523349	69.115386	160	8.719609	34.700407	14.252688	48.328002
155	2.12979637	0.00648809217	69.5261381	161	8.719609	34.700407	14.256541	48.298924
156	2.1296878	0.00462651203	69.940119	162	8.700343	34.700407	14.283513	48.240768
157	2.12963164	0.00510948198	70.334677	163	8.696490	34.642234	14.268100	48.066298
158	2.12954203	0.012280814	70.7050688	164	8.692637	34.554974	14.275806	48.095377
159	2.12943896	0.00645810955	71.0808799	165	8.688784	34.554974	14.279659	48.095377
160	2.12939596	0.00431006798	71.4750078	166	8.684930	34.584061	14.291219	48.124455
161	2.12933462	0.0043424838	71.9271967	167	8.688784	34.613147	14.283513	48.066298
162	2.12926537	0.00696023382	72.3016758	168	8.681077	34.642234	14.268100	48.124455
163	2.12918027	0.0066212452	72.6840868	169	8.657959	34.584061	14.252688	48.153533
164	2.12910885	0.00437081747	73.0643859	170	8.646399	34.584061	14.229569	48.153533
165	2.12903658	0.00463238722	73.4399478	171	8.654105	34.525887	14.275806	48.066298
166	2.12899105	0.00401279287	73.8261337	172	8.669518	34.554974	14.279659	48.153533
167	2.12894406	0.00333625521	74.2099359	173	8.673371	34.613147	14.256541	48.153533
168	2.12889357	0.00476174383	74.6392069	174	8.688784	34.613147	14.264247	48.095377
169	2.12885068	0.0061010683	75.0432718	175	8.673371	34.554974	14.268100	48.124455
170	2.12880309	0.00437251948	75.4279988	176	8.657959	34.554974	14.256541	48.211689
171	2.12874432	0.00371427098	75.8325539	177	8.654105	34.496800	14.256541	48.211689
172	2.12872927	0.00890930458	76.2072449	178	8.654105	34.496800	14.248834	48.095377
173	2.12867736	0.0034305698	76.5800478	179	8.677224	34.554974	14.241128	48.095377
174	2.12865459	0.00238293431	76.9974959	180	8.677224	34.554974	14.244981	48.095377
175	2.12862674	0.00319732942	77.3877349	181	8.677224	34.584061	14.252688	48.124455
176	2.12858754	0.00518123667	77.8363807	182	8.665665	34.525887	14.233422	48.008142
177	2.12854515	0.00550403022	78.2262137	183	8.646399	34.409540	14.268100	48.124455
178	2.12850468	0.00283857874	78.6135466	184	8.642546	34.409540	14.264247	48.095377
179	2.12845651	0.00346377564	79.0028965	185	8.654105	34.438627	14.252688	48.037220
180	2.12842819	0.00347105651	79.4752464	186	8.657959	34.467714	14.256541	48.037220
181	2.12839238	0.00488853234	79.9826465	187	8.646399	34.409540	14.248834	48.095377
182	2.12836164	0.00300526545	80.3680894	188	8.661812	34.409540	14.229569	48.037220
183	2.12833996	0.00261096757	80.7735896	189	8.650252	34.496800	14.237275	48.037220
184	2.1283174	0.00385587474	81.1439016	190	8.654105	34.496800	14.244981	48.066298
185	2.1282952	0.00466157117	81.5430217	191	8.665665	34.438627	14.225716	48.095377
186	2.12827305	0.00251575292	81.9229128	192	8.657959	34.467714	14.233422	48.124455
187	2.12825475	0.00233304159	82.3674738	193	8.654105	34.467714	14.225716	48.037220
188	2.12823547	0.00311856329	82.7427788	194	8.638693	34.467714	14.225716	48.037220
189	2.12821402	0.00400846004	83.2524638	195	8.627134	34.438627	14.233422	48.095377
190	2.12819543	0.00195249267	83.6525118	196	8.638693	34.467714	14.237275	48.124455
191	2.12817938	0.00222291991	84.0551467	197	8.650252	34.525887	14.229569	48.095377
192	2.12816412	0.00271439321	84.4577749	198	8.638693	34.525887	14.225716	48.095377
193	2.12814546	0.00406934411	84.8945649	199	8.661812	34.584061	14.229569	48.124455
