3 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ../data/train_petsc.txt
Parsing test data: ../data/test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train_petsc.txt
Test data: ../data/test_petsc.txt
loss: CRF, lambda: 1.000000e-03, Processors: 3
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter	func.val	gap time	feval.num	nfuncs	train_lett_err	train_word_err	test_lett_err	test_word_err
85	3.34032941	0.0149533727	68.0275779	87	10.842677	40.692263	14.480022	49.462053
86	3.3401976	0.00925415898	68.7498829	88	10.885061	40.779523	14.445344	49.462053
87	3.34010782	0.0078138387	69.4887378	89	10.877355	40.721350	14.476168	49.462053
88	3.33996266	0.00697199334	70.2268379	90	10.838824	40.605003	14.480022	49.578366
89	3.33994611	0.0218751154	70.9987159	91	10.827265	40.546830	14.518553	49.520209
90	3.3398025	0.006795224	71.7375088	92	10.838824	40.575916	14.483875	49.520209
91	3.33975177	0.00509272316	72.4791276	93	10.831118	40.517743	14.483875	49.520209
92	3.33967433	0.00676734617	73.2301075	94	10.811852	40.488656	14.491581	49.491131
93	3.33957776	0.00827705517	73.9687567	95	10.823412	40.488656	14.476168	49.520209
94	3.33952077	0.00923032206	75.4927847	97	10.854237	40.575916	14.503140	49.520209
95	3.33946396	0.00445979302	76.2979987	98	10.858090	40.517743	14.499287	49.520209
Optimization converged with status CONVERGED_GTTOL.
Total CPU time: 71.02 seconds 
Total wallclock time: 76.298 seconds 
Objective/gradient CPU time: 70.68 seconds 
Objective/gradient wallclock time: 75.8601 seconds 
